En el principio , Dios creó los cielos y la tierra .	Only Paraguayan Guarani (gug) copied here.
Siempre que lo ataban con cadenas y grilletes — lo cual le hacían a menudo — , él rompía las cadenas de sus muñecas y destrozaba los grilletes . No había nadie con suficiente fuerza para someterlo .	Heta jeýma ojepokua ha ojepykuapa , ha katuetei omondohopáva umíva , avave ikatu'ỹre ipu'aka hese .
Día y noche andaba entre las tumbas y por los montes , gritando y golpeándose con piedras .	Ára ha pyharépe oiko umi yvyty ha tyvy pa'ũ rupi , osapukáivo ha oñenupãvo itápe .
Pero cuando vio de lejos a Jesús , echó a correr , y poniéndose de rodillas delante de él	Ha ohechávo Jesúspe mombyry guive , oñani ha oñesũvo henondépe ,
Dando un alarido , gritó : « ¿ Por qué te entrometes conmigo , Jesús , Hijo del Dios Altísimo ? ¡ En el nombre de Dios , te suplico que no me tortures ! » .	he'i chupe osapukaihápe : — Aníke rejapo che rehe mba'eve Jesús , Tupã Yvatetegua Ra'y . Tupãre ajerure ndéve , ani haguã che mbohasa asy!
Pues Jesús ya le había dicho al espíritu : « Sal de este hombre , espíritu maligno » .	He'i upéicha , he'i haguére chupe Jesús : — Mba'epochy , esẽ pe kuimba'égui!
Jesús le preguntó : « ¿ Cómo te llamas ? » , y él respondió : « Me llamo Legión , porque somos muchos . »	Jesús he'i chupe : — Mba'éicha nde réra . Ha'e he'i : — Legión che réra , ore retágui ore .
Le rogaba entonces con insistencia que no los enviara fuera de la tierra .	Ha ojerure Jesúspe ani haguã omosẽ chupe kuéra upéva upe yvýgui .
Como en una colina estaba paciendo una manada de muchos cerdos , los demonios le rogaron a Jesús :	Namombyrýi upégui heta oĩ kure okarúva hína pe yvytýre .
y todos los demonios le rogaron : « ¡ Envíanos a los cerdos ! ¡ Déjanos entrar en ellos ! »	Umi mba'epochy ojerure chupe : — Ore mondóna umi kurépe , ha eheja oréve toroike ipype kuéra .
Entonces Jesús les dio permiso . Los espíritus malignos salieron del hombre y entraron en los cerdos , y toda la manada de unos dos mil cerdos se lanzó al lago por el precipicio y se ahogó en el agua .	Jesús oheja chupe kuéra oike . Ha umi mba'e pochy osẽ pe kuimba'égui ha oike umi kurépe . Umi kure ohupytýva 2.000 rupi , ha hetakue umi kure oho ojepoi ýpe , ha upépe omanomba .
Los porquerizos salieron huyendo y lo contaron en el pueblo y por los campos , de manera que la gente fue allá a ver lo sucedido .	Umi kure rerekua pya'e oho ha omombe'u opa mba'e pe távape ha umi okaháre . Opavave oho ohechávo upe ojehu vaekue .
Vinieron a Jesús , y vieron al que había estado endemoniado , sentado , vestido y en su cabal juicio , el mismo que había tenido la legión ; y tuvieron miedo .	Ha oguahẽvo Jesús rendápe , ohecha hikuái upe oguereko vaekue ipype mba'epochyeta oguapy , oñemonde porã ha iñakã porã . Opavave oñemondýi .
Y los que lo habían visto les describieron cómo le había sucedido esto al endemoniado , y lo de los cerdos .	Ha umi ohecha vaekue mba'épa ojehu pe mba'e pochy oguereko vaekuépe ha umi kurépe , omombe'u umi ambuépe .
y comenzaron a rogarle a Jesús que se fuera de sus contornos .	Ha ojerure asy hikuái Jesúspe oho haguã upégui .
Entonces Jesús subió a la barca . El hombre que había estado endemoniado le rogaba que le permitiera acompañarlo .	Jesús ojevývo kanóa oĩhápe , upe oguereko vaekue mba'e pochy ojerure chupe oheja haguã oho hendive .
Sin embargo , él no le dejó , sino que le dijo : “ Vete a casa a tus parientes , e infórmales acerca de todas las cosas que Jehová ha hecho por ti , y de la misericordia que te tuvo ” .	Jesús katu ndohejái ha he'i chupe : — Tereho uvei nde rógape ha emombe'u nde rogagua kuérape opa mba'e ojapo vaekue nde rehe Ñandejára , ha mba'éichapa nde poriahurereko .
Y él se fue y comenzó a proclamar en la Decápolis todas las cosas que Jesús había hecho por él , y toda la gente se admiraba .	Pe kuimba'e oho ha omombe'u Decápolis táva kuéra rupi upe Jesús ojapo vaekue hese . Ha opavave ohecha ramo .
Cuando Jesús pasó otra vez en la barca al otro lado , se reunió una gran multitud alrededor de El ; así que El se quedó junto al mar .	Jesús oguahẽ jeývo kanóape yguasu mboypýrigui , heta eterei oĩ ijatýva hese , ha ha'e opyta yguasu rembe'ýpe .
Entonces vino Jairo , que era uno de los jefes de la sinagoga , y cuando lo vio , se arrojó a sus pies	Upévo , oguahẽ Jairo . Ha'e niko umi judío kuéra tupao pegua ruvicha hína . Ha ohechávo Jesúspe oñesũ henondépe ,
y le rogó con fervor : « Mi hijita se está muriendo — dijo — . Por favor , ven y pon tus manos sobre ella para que se sane y viva » .	ha ojerure asy chupe he'ívo : — Che rajy niko omano potaite . Ejúna emoĩ nde po hi'ári okuera ha oikove haguã .
Jesús fue con él , y toda la gente lo siguió , apretujada a su alrededor .	Jesús oho hendive , ha heta omoirũva chupe kuéra ha ojopypáva chupe .
Entre la gente se encontraba una mujer que desde hacía doce años padecía hemorragias .	Umíva apytépe oĩ peteĩ kuña hasýva ojapóma 12 áño ha huguy mantéva .
y había sufrido mucho a manos de muchos médicos , pero que lejos de mejorar había gastado todo lo que tenía , sin ningún resultado .	Heta ohasa asy vaekue ha oiporupa opa oguerekóva okueraségui , ha ndaipóri pohãnohára ikatúva omonguera chupe .
Ella había oído de Jesús , así que se le acercó por detrás entre la multitud y tocó su túnica .	Ohendúvo pe Jesús rehe oje'éva , ko kuña oñemopa'ũ opavave apyte rupi , oñemboja hese hapykue guio ha opoko ijaóre .
Y es que decía : « Si alcanzo a tocar aunque sea su manto , me sanaré . »	Pe kuña niko he'i ipy'apýpe : “ Ijao rehénte jepe apokórõ , akueráta . ”
Al instante , la hemorragia se detuvo , y ella pudo sentir en su cuerpo que había sido sanada de su terrible condición .	Upe vove huguy syry opyta , ha oñandu hetépe okuera hague imba'asýgui .
Al momento también Jesús se dio cuenta de que de él había salido poder , así que se volvió hacia la gente y preguntó : — ¿ Quién me ha tocado la ropa ?	Jesús oñandu osẽ hague chugui pokatu , oñembojere oma'ẽ opavavére ha oporandu : — Mávapa opoko ra'e che aóre?
Sus discípulos le dijeron : « Mira a la multitud que te apretuja por todos lados . ¿ Cómo puedes preguntar : “ ¿ Quién me tocó ? ” ? » .	Hemimbo'e kuéra he'i chupe : — Rehecháma niko opavave nde jopyha opa guio , ha piko reporandu mávapa opoko nde rehe?
Pero Jesús seguía mirando a su alrededor , para ver quién había hecho eso .	Jesús katu akóinte oma'ẽ ijerekuévo , ohecha haguã mávapa opoko hese .
Entonces la mujer , temblando de miedo y sabiendo lo que le había pasado , fue y se arrodilló delante de él , y le contó toda la verdad .	Upérõ pe kuña oryrýihápe kyhyjégui , ha oikuaa porãgui upe ojehu vaekue , oñesũ henondépe ha omombe'upa chupe .
Jesús le dijo : — Hija , por tu fe has sido sanada . Vete tranquila y curada ya de tu enfermedad .	Jesús he'i chupe : — Che rajy , che rehe rejerovia haguére rekuera . Tereho katu rejepy'apy'ỹre . Rekueráma ne mba'asýgui .
Aún estaba hablando Jesús , cuando llegaron unos de casa del jefe de la sinagoga a decirle a este : — Tu hija ha muerto . No molestes más al Maestro .	Jesús oñe'ẽ jave gueteri hína , oguahẽ peteĩ tembijokuái ha he'i Jáirope : — Nde rajy omanóma . Maerã piko remyangekoivéta Mbo'ehárape?
Pero Jesús , oyendo lo que se hablaba , dijo al oficial de la sinagoga : No temas , cree solamente .	Jesús katu ojepy'apy'ỹre pe oje'évare , he'i pe judío kuéra tupao pegua mburuvichápe : — Ani rekyhyje . Ejerovia che rehe .
Y sin permitir que nadie lo acompañara , excepto Pedro , Santiago y su hermano Juan ,	Ha ndohejái avave omoirũ chupe , Pedro , Santiago ha ityvýra Juánpe añónte .
Cuando llegó a la casa del jefe de la sinagoga , vio mucho alboroto , y gente que lloraba y lamentaba .	Oguahẽvo Jairo rógape ha ohechávo pe ayvu , tasẽ ha sapukái oikóva ,
Y entrando les dijo : ¿ Por qué hacéis alboroto y lloráis ? La niña no ha muerto , sino que está dormida .	oike ha he'i chupe kuéra : — Mba'ére piko pende ayvu ha pene rasẽ upéicha? Ko mitãkuña niko nomanói , okénte hína .
La gente se burlaba de él , pero él ordenó que todos salieran . Tomó luego al padre y a la madre de la niña , y a los que estaban con él , y entró adonde estaba la niña .	Ha opukapa hese hikuái . Ha'e katu omosẽ opavavépe , ha oike itúva , isy ha umi imoirũhára ndive upe mitãkuña oĩháme .
La tomó de la mano y le dijo : ; Talita cum ( que significa : Niña , a ti te digo , ¡ levántate ! ) .	Ipojái ipóre ha he'i chupe : — Talitá cum ( he'iséva : “ Mitãkuña , ndéve ha'e , epu'ã . ” )
E inmediatamente la jovencita se levantó y echó a andar , pues tenía doce años . Y en seguida estuvieron fuera de sí con gran éxtasis .	Upe vove pe mitãkuña , oguerekóva 12 áño , opu'ã ha oñemoĩ oguata . Ha opavave ijurujái opytávo .
Pero él les ordenó repetidas veces que no dejaran que nadie se enterara de esto , y dijo que le dieran a ella algo de comer .	Jesús katu he'i chupe kuéra ani haguã omombe'u avavetépe , ha he'i oñemongaru haguã upe mitã kuñáme .
Salió Jesús de allí y fue a su tierra , en compañía de sus discípulos .	Jesús oho upégui oikove ypy haguépe , ha hemimbo'e kuéra oho hendive .
Cuando llegó el sábado se puso a enseñar en la sinagoga ; y muchos que lo escuchaban no salían de su asombro y se preguntaban : — ¿ De dónde ha sacado este todo eso ? ¿ Quién le ha dado esos conocimientos y de dónde proceden esos milagros que hace ?	Oguahẽvo pytu'uha ára oñepyrũ oporombo'e judío kuéra tupaópe . Ha heta ohendúva Jesúspe , ijurujái ha oporandu ojupe : — Moõgui piko oikuaa kóva hetaite mba'e? Moõgui piko oguenohẽ imba'e kuaa ha umi mba'e rechapyrã ojapóva?
Este es el carpintero , el hijo de María y el hermano de Santiago y de José y de Judas y de Simón , ¿ no es verdad ? Y sus hermanas están aquí con nosotros , ¿ no es verdad ? ” . De modo que empezaron a tropezar a causa de él .	Ndaha'éi piko kóva ku karpintéro , María memby , ha ityvýra kuéra Santiago , José , Judas ha Simón? Ha heindy kuéra nga'u piko ndoikói ñande apytépe? Ha ndojeroviái hese hikuái .
Pero Jesús les dijo : — En todas partes se honra a un profeta , menos en su propia tierra , entre sus parientes y en su propia casa .	Jesús katu he'i chupe kuéra : — Opa rupi niko maranduhára kuérape oñembojerovia , hógape ha hogagua apytépe , ha oikove ypy haguépe katu nahániri .
No pudo hacer allí ningún milagro , aparte de poner las manos sobre unos pocos enfermos y sanarlos .	Ndaikatúi ojapo upépe mba'eve hechapyrãva , mbovymi hasývarente omoĩ ipo ha omonguera .
Estaba verdaderamente sorprendido de la falta de fe de aquella gente . Andaba Jesús enseñando por las aldeas de alrededor ,	Ha ohecha ramó ndojeroviaiha hese hikuái . Jesús ohóva umi táva aguĩha rupi oporombo'évo .
cuando reunió a los doce discípulos y empezó a enviarlos de dos en dos , dándoles autoridad sobre los espíritus impuros .	Ohenói umi 12 hemimbo'épe ha oñepyrũ omondo chupe kuéra mokõi-mokõi , ha ome'ẽ chupe kuéra pokatu ipu'aka haguã mba'epochýre .
y les mandó que no llevaran nada para el camino . Aparte de un bastón , no debían llevar mochila , ni pan , ni dinero en el cinto .	He'i chupe kuéra ani haguã ogueraha mba'eve tapére guarã , yvyra ipo peguánte . Ndoguerahái vaerã ijaviorã térã viru .
sino calzados con sandalias . " No lleven dos túnicas , " les dijo .	Ikatu omonde sapatupe , ijao jopyrurã katu ani ogueraha .
Les dijo : — Cuando entren ustedes en una casa , quédense allí hasta que se vayan del lugar .	He'i chupe kuéra : — Upe óga peike haguépe peiko haguã , pesẽtaha árape peve peikóta .
Y si en algún lugar no los reciben bien o no los escuchan , al salir de allí sacúdanse el polvo de los pies , como un testimonio contra ellos . »	Ha na pene moguahẽséi ramo térã na pene renduséi ramo katu , pesẽ pe óga térã pe távagui , ha peityvyro pende pýgui pe yvytĩmbo oikuaa haguã upéva maranduha Tupã oinupãtaha chupe kuéra .
Saliendo los doce , predicaban que todos se arrepintieran .	Upérõ osẽ hikuái hemimbo'e kuéra he'i haguã opavavépe ojevy haguã Tupã gotyo .
También expulsaban muchos demonios , y ungían con aceite a muchos enfermos y los sanaban .	Omosẽ avei heta mba'epochy , ha omonguera heta hasývape omonávo hese kuéra ñandyry .
La fama de Jesús llegó a oídos del propio rey Herodes . Había algunos que decían : — Este es Juan el Bautista , que ha resucitado . Por eso tiene poder de hacer milagros .	Mburuvicha guasu Herodes ohendu pe oje'éva Jesús rehe , herakuãmava opa rupi . Oĩ he'íva : “ Juan Bautista niko opu'ã jeýma omanóva apytégui , ha upévare ipokatu ojapo haguã hechapyrãva . ”
Otros , en cambio , decían que era Elías ; y otros , que era un profeta semejante a los profetas antiguos .	Oĩ he'íva : “ Maranduhára Elías hína upéva . ” Ha ambueve he'i : “ Peteĩ umi maranduhára yma guaréva hína . ”
Al oír esto , Herodes decía : " Juan , a quien yo decapité , ha resucitado . "	Ohendúvo ko'ã mba'e , Herodes he'i : — Upéva hína Juan . Che añakã'ouka vaekue chupe ha ko'ágã oikove jeýva .
Pues Herodes había enviado soldados para arrestar y encarcelar a Juan para hacerle un favor a Herodías . Él se casó con ella a pesar de que era esposa de su hermano , Felipe .	Herodes niko , Herodías rehehápe , ojopyka vaekue Juánpe yvyrakuápe ha ombotyka chupe koty ypytũme . Herodías , Herodes ryvy Filipo rembirekore vaekue , ha Herodes omenda hese .
Juan le había estado diciendo a Herodes : « Es contra la ley de Dios que te cases con la esposa de tu hermano » .	Ha Juan he'i vaekue Heródespe : “ Ndaikatúi remendávo nde ryvy rembirekorére . ”
Pero Herodías le abrigaba rencor y quería matarlo , pero no podía .	Upévare Herodías ndaija'éi Juan rehe , ojukase chupe ha ndaikatúi ,
porque Herodes temía a Juan , sabiendo que era un hombre justo y santo , y lo mantenía protegido . Y cuando le oía se quedaba muy perplejo , pero le gustaba escucharlo .	Herodes niko okyhyje chugui oikuaágui ha'eha kuimba'e marangatu , ha omo'ã chupe . Ohendu ramo chupe opyta jepi oikuaa'ỹre mba'épa ojapóta . Upéicharõ jepe Herodes ohenduse Juánpe .
Llegó un día oportuno , cuando Herodes , siendo su cumpleaños , ofreció un banquete a sus nobles y comandantes y a los principales de Galilea ;	Herodías katu ohecha oguahẽha peteĩ ára ou porãtava chupe . Herodes ojapo karu guasu hi'ára mbotýre , mburuvicha kuéra ha poguasu kuéra Galiléa guápe guarã .
y cuando la hija misma de Herodías entró y danzó , agradó a Herodes y a los que se sentaban a la mesa con él ; y el rey dijo a la muchacha : Pídeme lo que quieras y te lo daré .	Herodías memby oike ha ojeroky pe karu guasuhápe . Herodes oguerohory eterei pe ijeroky ha opavave upépe oĩva rovake , he'i pe kuñataĩme : — Ejerure chéve reipotáva ha ame'ẽta ndéve .
Y le prometió bajo juramento : — Te daré cualquier cosa que me pidas , aun cuando sea la mitad de mi reino .	Ha ome'ẽ jey-jey chupe iñe'ẽ , he'ívo ome'ẽtaha chupe oimeraẽ mba'e , taha'e hetã mbytere jepe .
Ella salió y dijo a su madre : ¿ Qué pediré ? Y ella le respondió : La cabeza de Juan el Bautista .	Ha'e osẽ ha oporandu isýpe : — Mba'épa ajeruréta? He'i chupe : — Ejerure chupe Juan Bautista akãngue .
Inmediatamente ella entró de prisa al rey e hizo su petición , diciendo : “ Quiero que me des ahora mismo en una bandeja la cabeza de Juan el Bautista ” .	Pe kuñataĩ oike pya'e oĩháme mburuvicha guasu ha he'i chupe : — Aipota reme'ẽ chéve ko'agãite voi peteĩ ña'ẽmbépe Juan Bautista akãngue .
Aunque se contristó profundamente , el rey , sin embargo , no quiso desatenderla , a causa de los juramentos y de los que estaban reclinados a la mesa .	Upéva tuicha oguapy mburuvicha guasúre . Ha ome'ẽ haguére iñe'ẽ opavave rovake ndaikatúi opyrũvo hese . Upévare ojapo mante pe mitãkuña ojeruréva chupe .
Así que en seguida envió a un verdugo con la orden de llevarle la cabeza de Juan . El hombre fue , decapitó a Juan en la cárcel	Ha pya'ete omondo peteĩ ñorãirõhára ogueru haguã chupe Juan akãngue . Upéva oho koty ypytũme , oñakã'o Juánpe ,
El soldado fue a la cárcel y lo decapitó , y llevó su cabeza en un plato , se la entregó a la muchacha , y ésta se la entregó a su madre .	ha ogueraha iñakãngue peteĩ ña'ẽmbépe . Ome'ẽ upe kuñataĩme ha ha'e ome'ẽ isýpe .
Al enterarse de esto , los discípulos de Juan fueron a recoger el cuerpo y le dieron sepultura .	Juan remimbo'e kuéra oikuaávo , ogueraha hetekue ha oñotỹ .
Los apóstoles volvieron a reunirse con Jesús y le comunicaron todo lo que habían hecho y enseñado .	Upe rire Jesús remimbo'e kuéra oñembyaty Jesús ndive ha omombe'u chupe opa mba'e ojapo ha ombo'e vaekue .
Jesús les dijo : — Vengan , vamos nosotros solos a descansar un poco en un lugar tranquilo . Porque iba y venía tanta gente , que ellos ni siquiera tenían tiempo para comer .	Jesús he'i chupe kuéra : — Jaha japytu'umi ñane año peteĩ ojeiko'ỹháme . Heta etereígui umi ou ha ohóva niko ndaijái chupe kuéra okarúvonte jepe .
Así que subieron a una barca y se dirigieron , ellos solos , a un lugar apartado .	Upéicha Jesús ha ijapóstol kuéra oho kanóape peteĩ ha'eñoháme .
Pero la gente los vio salir , y muchos los reconocieron y juntos corrieron allá a pie de todas las ciudades , y llegaron antes que ellos .	Heta oĩ ohecháva ha oikuaa ha'e kueraha . Upérõ opa táva guio ojeho upe gotyo ha oguahẽ hikuái ha'e kuéra mboyve .
Pues , al salir , él vio una muchedumbre grande , y se enterneció por ellos , porque eran como ovejas sin pastor . Y comenzó a enseñarles muchas cosas .	Oguejývo Jesús pe kanóagui , ha ohechávo hetaha umi ijatýva , oiporiahurereko chupe kuéra , oĩgui ovecha herekua'ỹvaicha . Ha oñepyrũ ombo'e chupe kuéra heta mba'ére .
Y cuando ya era muy tarde , Sus discípulos se acercaron a El , diciendo : " El lugar está desierto y ya es muy tarde ;	Ka'aru pytũma ramo hemimbo'e kuéra ou hendápe , ha he'i chupe : — Ka'aruetéma niko , ha ko'arupi ndaipóri avave oikóva .
Despídelos para que vayan a los caseríos y aldeas de alrededor a comprarse algo para comer .	Emondómana opavavépe toho umi táva rupi , tojogua hembi'urã .
— Denles ustedes mismos de comer — contestó Jesús . — ¡ Eso costaría casi un año de trabajo ! — objetaron — . ¿ Quieres que vayamos y gastemos todo ese dinero en pan para darles de comer ?	Jesús katu he'i chupe kuéra : — Peẽ voi pemongaru chupe kuéra . Ha'e kuéra katu he'i chupe : — Reipota piko roho rojogua 200 pláta pehẽngue repy mbuja , romongaru haguã chupe kuéra?
Jesús les dijo : " ¿ Cuántos panes tienen ustedes ? Vayan y vean . " Y cuando se cercioraron le dijeron : " Cinco panes y dos peces . "	Jesús he'i : — Mboy mbuja piko pereko? Tapeho pehecha . Oikuaa vove he'i chupe : — 5 mbuja ha mokõi pira .
Entonces les mandó que hicieran sentar a la gente en grupos sobre la hierba verde ;	Ha omboguapy opavavépe aty-atýpe , kapi'ipépe .
Y se recostaron en grupos de a ciento y de a cincuenta .	Ha oguapy hikuái peteĩ atýpe 100 ha ambuépe 50 .
Entonces El tomó los cinco panes y los dos peces , y levantando los ojos al cielo , los bendijo ; partió los panes y los iba dando a los discípulos para que se los sirvieran ; también repartió los dos peces entre todos .	Upéi katu ojapyhy ipópe umi 5 mbuja ha mokõi pira ha oma'ẽvo yvága gotyo ohovasa . Upéi oipehe'ã umi mbuja ha ome'ẽ ohóvo hemimbo'e kuérape , ha ha'e kuéra ome'ẽ opavavépe . Oipehe'ã avei umi pira opavavépe .
De modo que todos comieron y quedaron satisfechos ;	Opavave ho'u hyguãtã meve .
recogieron los pedazos sobrantes de pan y de pescado , y con ellos llenaron doce canastas .	Ombyaty hikuái umi mbuja ha pira pehẽngue hembývagui , ha omyenyhẽ 12 ajaka .
¡ Un total de cinco mil hombres y sus familias se alimentaron de esos panes !	Umi ho'u vaekue pe mbuja niko hína 5.000 kuimba'e rupi .
Enseguida Jesús hizo que Sus discípulos subieran a la barca y fueran delante de El al otro lado , a Betsaida , mientras El despedía a la multitud .	Upéi , Jesús he'i hemimbo'e kuérape ojupi haguã peteĩ kanóape ha ohasa haguã henonderã y mboypýri , Betsaida gotyo . Upe aja ha'e he'íta opavavépe oho haguã hógape .
pero después de despedirlos se fue al monte a orar .	Omondopa rire opavavépe hógape , Jesús ojupi peteĩ yvytýpe oñembo'e haguã .
Cuando ya había anochecido , la barca estaba en medio del mar , pero él solo en tierra .	Pyhare oguahẽvo , pe kanóa ohupytýma pe y mbyte rupi .
Y al verlos remar fatigados , porque el viento les era contrario , como a la cuarta vigilia de la noche , fue hacia ellos andando sobre el mar , y quería pasarles de largo .	Pe y pochy katu oñenupã pe kanóa tĩre , ohuguãitĩgui ohóvo hikuái yvytu , ha ohecha umi kanóa pegua oho mbegueha , yvytu ojokógui chupe kuéra . Ko'ẽ mbotávo , Jesús oñemboja hendápe kuéra oguatahápe pe y apére . Ha oñemotenondese hese kuéra .
pero ellos , al verlo caminar sobre las aguas , pensaron que era un fantasma y comenzaron a gritar ,	Hemimbo'e kuéra ohechávo oguataha pe y apére , oimo'ã hikuái póra , ha osapukái ,
Todos lo vieron y se asustaron ; pero Jesús les habló enseguida , diciéndoles : — Tranquilícense , soy yo . No tengan miedo .	opavave ohechágui chupe ha oñemondýi . Jesús katu pya'e oñe'ẽ chupe kuéra he'ívo : — Chénteko , ani pekyhyje!
Entonces subió a la barca , y el viento se detuvo . Ellos estaban totalmente asombrados	Ojupi kanóape ha opi pe yvytu , ha ha'e kuéra ijurujái opytávo ,
porque no habían entendido lo de los panes , sino que su mente estaba embotada .	ndoikéigui iñakãme nguéra pe mba'e rechapyrã mbuja kuéra rehegua , pe iñe'ã nguéra niko iñypytũ .
Terminada la travesía , llegaron a la orilla y tocaron tierra en Genesaret .	Ohasa hikuái pe y mboypýri ha oguahẽ Genesaret yvýpe ha upépe ojokua ikanóa y rembe'ýpe .
y bajaron . Los habitantes reconocieron a Jesús enseguida	Oguejývo hikuái pe kanóagui ha umi upepegua oikuaávo Jesús hague pe oguahẽva , omomaranduka ijerekuévo , ha ogueru hikuái hendápe opa umi hasýva .
y corrieron por toda aquella región y comenzaron a llevar en camillas a los que se hallaban mal , a donde oían que él estaba .	Oho hikuái opa rupi ha ojegueru Jesús rendápe umi hasýva hupa reheve .
Por donde iba — fueran aldeas , ciudades o granjas — le llevaban enfermos a las plazas . Le suplicaban que permitiera a los enfermos tocar al menos el fleco de su túnica , y todos los que tocaban a Jesús eran sanados .	Ha mamo ha'e oikehápe , taha'e táva , taha'e óga térã ñu rupi , omoĩ hikuái umi hasývape tapépe , ha ojerure chupe hikuái opokomínte haguã ijao rembe'yrénte jepe . Ha opokóva guive hese , okuera .
Cierto día , algunos fariseos y maestros de la ley religiosa llegaron desde Jerusalén para ver a Jesús .	Oñemboja Jesús rendápe umi fariséo ha Moisés rembiapoukapy mbo'eha ou vaekue Jerusaléngui .
y vieron que algunos discípulos de Jesús comían con las manos impuras , esto es , sin habérselas lavado .	Ko'ãva , ohechávo oĩha Jesús remimbo'e kuérava okarúva po potĩ'ỹ reheve , he'ise ojepohei'ỹre , oñe'ẽ vai hese kuéra .
( Los judíos , sobre todo los fariseos , no comen si antes no han derramado agua sobre el hueco de sus manos , como exigen sus tradiciones antiguas .	( Fariséo kuéra ha judío kuérava niko , ojapóvo ijypy kuéra ñe'ẽ , ndokarúiva ojepohéi porã'ỹre .
Así , cuando vuelven del mercado , no comen si antes no se lavan . Y guardan también otras muchas costumbres rituales , tales como lavar las copas , las ollas , las vasijas metálicas y hasta las camas ) .	Ha ojevývo ñemuhágui , ndokarúi ojapo'ỹre umi mba'e ñemopotĩ rehegua . Ha oguereko avei heta ijapopyrã : ojejohéi vaerã mbayru ojey'uha , y ryru , tembiporu mba'e veraguigua , tupa ha mba'e ) .
de modo que estos fariseos y escribas le preguntaron : “ ¿ Por qué no proceden tus discípulos conforme a la tradición de los hombres de otros tiempos , sino que toman su comida con manos contaminadas ? ” .	Upévare fariséo ha Moisés rembiapoukapy mbo'eha oporandu chupe : — Mba'ére piko umi ne remimbo'e ndojapói hekópe umi mba'e ñande ypykue ñande reko mbo'e vaekue , ha okaru ipo potĩ'ỹre?
Jesús les respondió : " Bien profetizó Isaías de ustedes , hipócritas , como está escrito : ' Este pueblo con los labios Me honra , pero su corazon esta muy lejos de Mi .	Jesús he'i chupe kuéra : — He'i porã vaekue maranduhára Isaías umi peẽichagua hova mokõivare , ohai ramo guare : “ Ko'ãva ijurúpente che momba'e , ipy'apy katumombyry oĩ che hegui .
No tiene sentido que me honren , si sus enseñanzas son mandamientos humanos . ”	Reíko che momba'e guasu hikuái , ombo'égui che rembiapoukapýrõmba'e ha'e kuérante omoĩvaojejapo haguã . ”
» Pues ustedes pasan por alto la ley de Dios y la reemplazan con su propia tradición .	Peẽ niko pemboyke Tupã rembiapoukapy pejapo haguã yvypóra ñe'ẽ .
También les decía : Astutamente violáis el mandamiento de Dios para guardar vuestra tradición .	He'i avei chupe kuéra : — Peẽ pejepokuaaháichante pejapo , ha ndapejapói hekópe Tupã rembiapoukapy .
Porque Moisés dijo : “ Honra a tu padre y a tu madre ” , y también : “ El que maldiga al padre o a la madre , morirá irremisiblemente . ”	Moisés niko he'i vaekue : “ Emomba'e nde ru ha nde sýpe ” ha “ Pe ojahéiva itúva térã isýre , tojejuka ” .
" Pero ustedes dicen : ' Si un hombre dice al padre o a la madre : " Cualquier cosa mía con que pudieras beneficiarte es corbán ( es decir , ofrenda a Dios ) ' " ,	Peẽ katu peje oimeraẽva ikatuha he'i itúva térã isýpe : ‘ Ndaikatúi mo'ãi roipytyvõ , opa mba'e arekóva niko korván ’ ( he'iséva : “ oñemboykéva Tupãme ” ) ,
ya no le dejan hacer ni una sola cosa por su padre o su madre ,	ha péicha he'i haguérente , ikatúma noipytyvõvéi isy ha itúva .
invalidando así la palabra de Dios por la tradición de ustedes , la cual han transmitido , y hacen muchas cosas semejantes a éstas . "	Ha péicha , peẽ pemboyke Tupã rembiapoukapy pejapo haguã peẽ pejepokuaaháichante . Ha hetave peichaguáva pejapo .
Y recabando de nuevo la atención de la gente , les dijo : — Óiganme todos y entiendan esto :	Upéi Jesús ohenói opavavépe ha he'i : — Pe che rendúke opavave , peikuaa haguã .
Nada externo al ser humano puede hacerlo impuro . Lo que realmente hace impuro a uno es lo que sale del corazón .	Mba'eve oka guio oikéva ndaikatúi ñane mongy'ávo . Pe ñande py'apýgui osẽvante pe ñane mongy'áva .
Si alguno tiene oídos para oír , que oiga . "	Peẽ pende apysáva , pehendu .
Cuando Jesús dejó a la gente y entró en la casa , sus discípulos le preguntaron sobre esta enseñanza .	Jesús oheja rire chupe kuéra ha oike hógape , hemimbo'e kuéra oporandu chupe ko ombo'e vaekuére ,
Él les dijo : — ¿ Así que ustedes tampoco lo comprenden ? ¿ No entienden que nada de lo que entra de afuera puede hacer impuro al hombre ,	Ha'e he'i chupe kuéra : Ndapeikuaái nga'u piko mba'eve oikéva ñande juru rupi ndaikatuiha ñane mongy'ávo?
porque no entra en su corazón , sino en su vientre , y va a parar a la letrina ? Con esto , Jesús declaraba limpios todos los alimentos .	Ndoikéi niko ñande py'apýpe , ñande ryépente , upéi osẽ jey haguã ñande retégui . Upéicha he'ívo he'ise opaichagua tembi'u ipotĩha
Y decía : Lo que sale del hombre , eso es lo que contamina al hombre .	He'i avei : — Pe osẽva ñande hegui , upéva hína pe ñane mongy'áva .
Porque de adentro , es decir , del corazón de los hombres , salen los malos pensamientos , la inmoralidad sexual , los robos , los asesinatos ,	Ñande py'apýgui niko osẽ mba'e ivaíva , jejuka ,
